name,category,brand,model,specs,purchase_date,price,status,location,notes,spec_url,manual_url,service_provider,service_phone
"Commercial Blender","Large Equipment","Vitamix","VM0193","64 oz container, 2.2 HP motor, Variable speed control","2023-01-15",549.99,"Active","Kitchen","Clean blades monthly.","https://www.vitamix.com/us/en_us/shop/vm0193","https://www.vitamix.com/us/en_us/support/manuals","Vitamix Service Center","1-800-848-2649"
"Wine Glasses Set","Front of House","Libbey","Duratuff","Set of 12, 14 oz capacity, Lead-free crystal","2023-03-20",89.99,"Active","Bar","Check for chips weekly.","","","Libbey Customer Service","1-888-794-8469"
"Chef's Knife Set","Small Kitchenware","Wusthof","Classic Ikon","8-piece set, High-carbon steel, Full tang construction","2023-02-10",299.99,"Active","Kitchen","Sharpen monthly.","https://www.wusthof.com/knives/classic-ikon","https://www.wusthof.com/support/manuals","Wusthof Support","1-800-289-9878"
"Espresso Machine","Beverage Equipment","La Marzocco","Linea Mini","Dual boiler, PID control, 3.5L water tank","2022-11-05",4999.00,"Active","Coffee Bar","Descale every 3 months.","https://home.lamarzocco.com/linea-mini/","https://home.lamarzocco.com/support/","La Marzocco Service","1-206-706-9104"
"Walk-in Refrigerator","Large Equipment","True","T-49","49 cu ft, Stainless steel, LED lighting","2021-08-12",3299.00,"Active","Storage Room","Check temp daily.","https://www.truemfg.com/products/t-49","https://www.truemfg.com/support/","True Service","1-800-325-6152"
"Fire Extinguisher","Safety","Kidde","Pro 210","ABC, 4 lbs, Rechargeable","2022-06-01",49.99,"Active","Kitchen","Inspect monthly.","https://www.kidde.com/home-safety/en/us/products/fire-extinguishers/pro-210/","https://www.kidde.com/home-safety/en/us/support/","Kidde Support","1-800-880-6788"
"Sheet Pan Rack","Storage","Winholt","AL-1820-C","20 pan capacity, Aluminum, Swivel casters","2023-04-10",199.99,"Active","Bakery","Tighten bolts quarterly.","https://www.winholt.com/product/al-1820-c/","https://www.winholt.com/support/","Winholt Service","1-516-921-0538"
"Bar Spoon Set","Small Kitchenware","OXO","SteeL","Set of 2, Stainless steel, 12-inch","2023-05-15",19.99,"Active","Bar","Hand wash only.","https://www.oxo.com/steel-bar-spoon-set.html","https://www.oxo.com/support/","OXO Support","1-800-545-4411"
"POS Terminal","Front of House","Square","Register","Touchscreen, Integrated payments, Wi-Fi","2022-09-01",799.00,"Active","Front Counter","Update software monthly.","https://squareup.com/us/en/hardware/register","https://squareup.com/help/us/en","Square Support","1-855-700-6000"
"Ice Machine","Large Equipment","Hoshizaki","KM-520MAJ","22"" wide, 22"" deep, 30"" high, 22 lbs ice/hour","2021-07-20",2499.00,"Active","Kitchen","Sanitize every 6 months.","https://hoshizakiamerica.com/products/km-520maj/","https://hoshizakiamerica.com/support/","Hoshizaki Service","1-800-438-6087"
"Salad Spinner","Small Kitchenware","OXO","Good Grips","6.22 qt, Non-slip base, BPA free","2023-03-18",29.99,"Active","Prep Area","Dry after use.","https://www.oxo.com/good-grips-salad-spinner.html","https://www.oxo.com/support/","OXO Support","1-800-545-4411"
"Wine Refrigerator","Beverage Equipment","EdgeStar","CWR361FD","36 bottle, Dual zone, Stainless steel","2022-10-05",699.99,"Active","Bar","Clean condenser coils annually.","https://www.edgestar.com/wine-refrigerators/","https://www.edgestar.com/support/","EdgeStar Support","1-866-319-5473"
"Bain Marie Pot","Small Kitchenware","Update International","BAM-8","8 qt, Stainless steel, NSF","2023-01-25",24.99,"Active","Kitchen","Check for dents.","https://www.update-intl.com/bain-marie-pot/","https://www.update-intl.com/support/","Update Support","1-800-747-7124"
